"","X","Borne.de.sortie","Date.de.sortie","Date.de.retour","Borne.de.retour"
"30270",77669,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 23:45","6-10-16 23:53","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"30271",77670,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 22:28","6-10-16 22:36","84_SERRERIA_ESQ_PINTOR FERRER CALATAYUD"
"30272",77671,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 11:45","6-10-16 11:53","87_AVDA BLASCO IBAÑEZ 2"
"30273",77672,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 21:04","6-10-16 21:12","101_AVDA. BLASCO IBAÑEZ 10"
"30274",77673,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 14:33","6-10-16 14:40","100_AVDA. BLASCO IBAÑEZ 9"
"30275",77674,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 14:16","6-10-16 14:23","079_AVDA. ARAGON II"
"30276",77675,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 14:52","6-10-16 14:59","113_ETS CAMINOS"
"30277",77676,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 16:49","6-10-16 16:56","89_AVDA. BLASCO IBAÑEZ"
"30278",77677,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 8:39","6-10-16 8:46","90_AVDA. BLASCO IBAÑEZ "
"30279",77678,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 14:23","6-10-16 14:30","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"30280",77679,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 0:01","6-10-16 0:08","079_AVDA. ARAGON II"
"30281",77680,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 2:52","6-10-16 3:00","064_AVDA. DEL PUERTO II"
"30282",77681,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 10:53","6-10-16 11:00","104_ALBALAT DELS TARONGERS"
"30283",77682,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 11:39","6-10-16 11:46","113_ETS CAMINOS"
"30284",77683,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 12:52","6-10-16 12:59","90_AVDA. BLASCO IBAÑEZ "
"30285",77684,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 11:57","6-10-16 12:04","113_ETS CAMINOS"
"30286",77685,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 10:20","6-10-16 10:27","113_ETS CAMINOS"
"30287",77686,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 19:18","6-10-16 19:25","112_AVDA. DE LOS NARANJOS"
"30288",77687,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 21:18","6-10-16 21:25","118_C/ DR. GOMEZ FERRER"
"30289",77688,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 7:36","6-10-16 7:43","90_AVDA. BLASCO IBAÑEZ "
"30290",77689,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 21:23","6-10-16 21:30","103_RUBEN DARIO"
"30291",77690,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 21:54","6-10-16 22:01","118_C/ DR. GOMEZ FERRER"
"30292",77691,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 23:46","6-10-16 23:53","47_AVDA. AUTOPISTA DEL SALER"
"30293",77692,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 7:35","6-10-16 7:42","112_AVDA. DE LOS NARANJOS"
"30294",77693,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 14:16","6-10-16 14:23","065_AVDA. DEL PUERTO III"
"30295",77694,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 19:04","6-10-16 19:11","118_C/ DR. GOMEZ FERRER"
"30296",77695,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 7:36","6-10-16 7:43","90_AVDA. BLASCO IBAÑEZ "
"30297",77696,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 11:59","6-10-16 12:06","90_AVDA. BLASCO IBAÑEZ "
"30298",77697,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 14:35","6-10-16 14:42","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"30299",77698,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 16:19","6-10-16 16:25","95_AVDA. DE LOS NARANJOS"
"30300",77699,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 17:53","6-10-16 18:00","150_DR. MANUEL CANDELA"
"30301",77700,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 18:18","6-10-16 18:25","065_AVDA. DEL PUERTO III"
"30302",77701,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 18:51","6-10-16 18:58","95_AVDA. DE LOS NARANJOS"
"30303",77702,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 20:39","6-10-16 20:46","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"30304",77703,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 9:53","6-10-16 10:00","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"30305",77704,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 18:15","6-10-16 18:22","89_AVDA. BLASCO IBAÑEZ"
"30306",77705,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 21:40","6-10-16 21:46","101_AVDA. BLASCO IBAÑEZ 10"
"30307",77706,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 14:23","6-10-16 14:30","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"30308",77707,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 16:11","6-10-16 16:17","063_AVDA. DEL PUERTO I"
"30309",77708,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 17:23","6-10-16 17:30","117_PRIMADO REIG"
"30310",77709,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 17:49","6-10-16 17:56","150_DR. MANUEL CANDELA"
"30311",77710,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 2:36","6-10-16 2:44","107_C/ CAMPILLO ALTO BUEY"
"30312",77711,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 7:44","6-10-16 7:50","088_AVDA. BLASCO IBAÑEZ 3"
"30313",77712,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 17:42","6-10-16 17:49","099_AVDA. BLASCO IBAÑEZ 8"
"30314",77713,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 19:03","6-10-16 19:10","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"30315",77714,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 13:54","6-10-16 14:01","84_SERRERIA_ESQ_PINTOR FERRER CALATAYUD"
"30316",77715,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 21:15","6-10-16 21:21","106_AVDA. DE LOS NARANJOS"
"30317",77716,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 23:45","6-10-16 23:53","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"30318",77717,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 15:36","6-10-16 15:43","117_PRIMADO REIG"
"30319",77718,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 7:46","6-10-16 7:53","113_ETS CAMINOS"
"30320",77719,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 9:56","6-10-16 10:03","154_PESCADORES"
"30321",77720,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 11:32","6-10-16 11:39","90_AVDA. BLASCO IBAÑEZ "
"30322",77721,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 15:54","6-10-16 16:02","111_COLEGIO MAYOR"
"30323",77722,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 10:21","6-10-16 10:27","90_AVDA. BLASCO IBAÑEZ "
"30324",77723,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 12:41","6-10-16 12:47","90_AVDA. BLASCO IBAÑEZ "
"30325",77724,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 15:19","6-10-16 15:25","106_AVDA. DE LOS NARANJOS"
"30326",77725,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 3:59","6-10-16 4:06","075_CAMPOAMOR I"
"30327",77726,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 0:04","6-10-16 0:10","90_AVDA. BLASCO IBAÑEZ "
"30328",77727,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 11:47","6-10-16 11:53","088_AVDA. BLASCO IBAÑEZ 3"
"30329",77728,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 12:36","6-10-16 12:42","099_AVDA. BLASCO IBAÑEZ 8"
"30330",77729,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 12:55","6-10-16 13:01","150_DR. MANUEL CANDELA"
"30331",77730,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 21:31","6-10-16 21:37","101_AVDA. BLASCO IBAÑEZ 10"
"30332",77731,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 17:40","6-10-16 17:46","099_AVDA. BLASCO IBAÑEZ 8"
"30333",77732,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 23:54","7-10-16 0:00","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"30334",77733,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 17:48","6-10-16 17:54","105_AVDA. DE LOS NARANJOS"
"30335",77734,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 20:40","6-10-16 20:46","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"30336",77735,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 22:05","6-10-16 22:11","078_AVDA. ARAGÓN I"
"30337",77736,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 18:04","6-10-16 18:10","072_RAMIRO MAETZU"
"30338",77737,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 20:12","6-10-16 20:18","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"30339",77738,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 17:23","6-10-16 17:29","099_AVDA. BLASCO IBAÑEZ 8"
"30340",77739,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 0:03","6-10-16 0:09","099_AVDA. BLASCO IBAÑEZ 8"
"30341",77740,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 3:30","6-10-16 3:36","079_AVDA. ARAGON II"
"30342",77741,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 18:01","6-10-16 18:07","150_DR. MANUEL CANDELA"
"30343",77742,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 0:03","6-10-16 0:09","099_AVDA. BLASCO IBAÑEZ 8"
"30344",77743,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 13:40","6-10-16 13:46","150_DR. MANUEL CANDELA"
"30345",77744,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 15:12","6-10-16 15:18","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"30346",77745,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 21:40","6-10-16 21:46","101_AVDA. BLASCO IBAÑEZ 10"
"30347",77746,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 7:45","6-10-16 7:51","105_AVDA. DE LOS NARANJOS"
"30348",77747,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 20:13","6-10-16 20:18","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"30349",77748,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 7:46","6-10-16 7:52","89_AVDA. BLASCO IBAÑEZ"
"30350",77749,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 14:00","6-10-16 14:06","150_DR. MANUEL CANDELA"
"30351",77750,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 21:15","6-10-16 21:21","106_AVDA. DE LOS NARANJOS"
"30352",77751,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 10:01","6-10-16 10:06","105_AVDA. DE LOS NARANJOS"
"30353",77752,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 12:34","6-10-16 12:40","079_AVDA. ARAGON II"
"30354",77753,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 11:26","6-10-16 11:32","90_AVDA. BLASCO IBAÑEZ "
"30355",77754,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 3:37","6-10-16 3:41","112_AVDA. DE LOS NARANJOS"
"30356",77755,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 14:55","6-10-16 15:01","89_AVDA. BLASCO IBAÑEZ"
"30357",77756,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 14:26","6-10-16 14:32","098_SANTOS JUSTO Y PASTOR"
"30358",77757,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 14:50","6-10-16 14:55","105_AVDA. DE LOS NARANJOS"
"30359",77758,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 11:46","6-10-16 11:51","105_AVDA. DE LOS NARANJOS"
"30360",77759,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 14:24","6-10-16 14:29","099_AVDA. BLASCO IBAÑEZ 8"
"30361",77760,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 16:20","6-10-16 16:26","105_AVDA. DE LOS NARANJOS"
"30362",77761,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 17:29","6-10-16 17:34","93_AVADA_BLASCO_IBAÑEZ_DESP_C_POETA_DURAN_TORTAJAD"
"30363",77762,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 10:35","6-10-16 10:40","90_AVDA. BLASCO IBAÑEZ "
"30364",77763,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 3:51","6-10-16 3:56","079_AVDA. ARAGON II"
"30365",77764,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 14:20","6-10-16 14:24","099_AVDA. BLASCO IBAÑEZ 8"
"30366",77765,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 18:35","6-10-16 18:41","90_AVDA. BLASCO IBAÑEZ "
"30367",77766,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 23:55","7-10-16 0:00","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"30368",77767,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 20:51","6-10-16 20:56","90_AVDA. BLASCO IBAÑEZ "
"30369",77768,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 3:07","6-10-16 3:13","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"30370",77769,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 21:24","6-10-16 21:29","150_DR. MANUEL CANDELA"
"30371",77770,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 15:32","6-10-16 15:37","90_AVDA. BLASCO IBAÑEZ "
"30372",77771,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 15:54","6-10-16 15:58","105_AVDA. DE LOS NARANJOS"
"30373",77772,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 0:45","6-10-16 0:50","117_PRIMADO REIG"
"30374",77773,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 11:04","6-10-16 11:10","105_AVDA. DE LOS NARANJOS"
"30375",77774,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 14:06","6-10-16 14:11","90_AVDA. BLASCO IBAÑEZ "
"30376",77775,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 17:05","6-10-16 17:10","074_PLAZA SAN FELIPE NERI"
"30377",77776,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 18:43","6-10-16 18:47","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"30378",77777,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 2:51","6-10-16 2:56","93_AVADA_BLASCO_IBAÑEZ_DESP_C_POETA_DURAN_TORTAJAD"
"30379",77778,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 11:53","6-10-16 11:58","90_AVDA. BLASCO IBAÑEZ "
"30380",77779,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 13:42","6-10-16 13:47","93_AVADA_BLASCO_IBAÑEZ_DESP_C_POETA_DURAN_TORTAJAD"
"30381",77780,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 18:36","6-10-16 18:41","117_PRIMADO REIG"
"30382",77781,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 19:45","6-10-16 19:50","074_PLAZA SAN FELIPE NERI"
"30383",77782,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 20:35","6-10-16 20:40","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"30384",77783,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 7:37","6-10-16 7:42","105_AVDA. DE LOS NARANJOS"
"30385",77784,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 9:12","6-10-16 9:16","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"30386",77785,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 11:11","6-10-16 11:17","079_AVDA. ARAGON II"
"30387",77786,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 19:24","6-10-16 19:29","104_ALBALAT DELS TARONGERS"
"30388",77787,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 14:24","6-10-16 14:29","150_DR. MANUEL CANDELA"
"30389",77788,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 19:04","6-10-16 19:09","117_PRIMADO REIG"
"30390",77789,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 23:54","7-10-16 0:00","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"30391",77790,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 14:19","6-10-16 14:24","099_AVDA. BLASCO IBAÑEZ 8"
"30392",77791,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 0:04","6-10-16 0:09","099_AVDA. BLASCO IBAÑEZ 8"
"30393",77792,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 12:04","6-10-16 12:09","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"30394",77793,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 12:05","6-10-16 12:10","90_AVDA. BLASCO IBAÑEZ "
"30395",77794,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 18:26","6-10-16 18:32","099_AVDA. BLASCO IBAÑEZ 8"
"30396",77795,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 14:36","6-10-16 14:41","150_DR. MANUEL CANDELA"
"30397",77796,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 14:56","6-10-16 15:01","90_AVDA. BLASCO IBAÑEZ "
"30398",77797,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 15:38","6-10-16 15:42","105_AVDA. DE LOS NARANJOS"
"30399",77798,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 12:17","6-10-16 12:21","102_AVDA.RAMON LLUL"
"30400",77799,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 13:14","6-10-16 13:18","104_ALBALAT DELS TARONGERS"
"30401",77800,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 1:11","6-10-16 1:16","103_RUBEN DARIO"
"30402",77801,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 12:11","6-10-16 12:15","102_AVDA.RAMON LLUL"
"30403",77802,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 12:42","6-10-16 12:46","094_AVDA. BLASCO IBAÑEZ 5"
"30404",77803,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 12:30","6-10-16 12:34","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"30405",77804,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 14:47","6-10-16 14:51","094_AVDA. BLASCO IBAÑEZ 5"
"30406",77805,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 23:49","6-10-16 23:53","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"30407",77806,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 9:16","6-10-16 9:20","099_AVDA. BLASCO IBAÑEZ 8"
"30408",77807,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 3:26","6-10-16 3:29","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"30409",77808,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 18:07","6-10-16 18:12","102_AVDA.RAMON LLUL"
"30410",77809,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 22:20","6-10-16 22:24","098_SANTOS JUSTO Y PASTOR"
"30411",77810,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 20:27","6-10-16 20:31","076_CAMPOAMOR II"
"30412",77811,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 21:45","6-10-16 21:49","079_AVDA. ARAGON II"
"30413",77812,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 1:23","6-10-16 1:27","261_PZA_XUQUER_ESQ_VINALOPO"
"30414",77813,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 13:58","6-10-16 14:02","074_PLAZA SAN FELIPE NERI"
"30415",77814,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 19:53","6-10-16 19:58","074_PLAZA SAN FELIPE NERI"
"30416",77815,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 19:59","6-10-16 20:03","075_CAMPOAMOR I"
"30417",77816,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 8:21","6-10-16 8:25","90_AVDA. BLASCO IBAÑEZ "
"30418",77817,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 15:10","6-10-16 15:14","150_DR. MANUEL CANDELA"
"30419",77818,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 16:21","6-10-16 16:25","105_AVDA. DE LOS NARANJOS"
"30420",77819,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 15:21","6-10-16 15:24","074_PLAZA SAN FELIPE NERI"
"30421",77820,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 2:53","6-10-16 2:56","097_AVDA. BLASCO IBAÑEZ 7"
"30422",77821,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 21:14","6-10-16 21:17","079_AVDA. ARAGON II"
"30423",77822,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 15:10","6-10-16 15:14","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"30424",77823,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 13:23","6-10-16 13:26","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"30425",77824,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 0:08","6-10-16 0:09","096_AVDA. BLASCO IBAÑEZ 6"
"30426",77825,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 18:40","6-10-16 18:42","094_AVDA. BLASCO IBAÑEZ 5"
"30427",77826,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 13:57","6-10-16 13:59","094_AVDA. BLASCO IBAÑEZ 5"
"30428",77827,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 16:41","6-10-16 16:44","094_AVDA. BLASCO IBAÑEZ 5"
"30429",77828,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 3:47","6-10-16 3:48","096_AVDA. BLASCO IBAÑEZ 6"
"30430",77829,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 9:11","6-10-16 9:11","096_AVDA. BLASCO IBAÑEZ 6"
"30431",77830,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 9:12","6-10-16 9:12","096_AVDA. BLASCO IBAÑEZ 6"
"30432",77831,"096_AVDA. BLASCO IBAÑEZ 6","6-10-16 19:57","6-10-16 19:57","096_AVDA. BLASCO IBAÑEZ 6"
"1",1,"001_GUILLEN_DE_CASTRO","03/10/2016 09:03:50","03/10/2016 09:08:57","004_PLAZA_DE_LA_VIRGEN_CALLE_BAILIA"
"2",2,"001_GUILLEN_DE_CASTRO","03/10/2016 09:41:10","03/10/2016 09:46:04","007_PZA_DEL_MERCADO_TAULA_DE_CANVIS"
"3",3,"001_GUILLEN_DE_CASTRO","03/10/2016 09:57:03","03/10/2016 10:08:18","015_RIBERA"
"4",4,"001_GUILLEN_DE_CASTRO","03/10/2016 10:51:19","03/10/2016 10:55:42","006_GUILLEN_CASTRO_CON_CALLE_SAN_PEDRO_PASCUAL"
"5",5,"001_GUILLEN_DE_CASTRO","03/10/2016 13:26:15","03/10/2016 13:38:50","173_AVENIDA_PIO_XII_34"
"6",6,"001_GUILLEN_DE_CASTRO","03/10/2016 14:15:27","03/10/2016 14:29:57","031_CALLE SALAMANCA"
"7",7,"001_GUILLEN_DE_CASTRO","03/10/2016 16:24:54","03/10/2016 16:29:23","007_PZA_DEL_MERCADO_TAULA_DE_CANVIS"
"8",8,"001_GUILLEN_DE_CASTRO","03/10/2016 11:33:11","03/10/2016 11:49:58","063_AVDA. DEL PUERTO I"
"9",9,"001_GUILLEN_DE_CASTRO","03/10/2016 12:13:30","03/10/2016 12:28:05","226_CALLE_SAFOR_ESQ_AVDA_DE_LAS_CORTES_VALENCIANAS"
"10",10,"001_GUILLEN_DE_CASTRO","03/10/2016 14:47:44","03/10/2016 14:54:57","153_C/ LLANO DE ZAIDA"
"11",11,"001_GUILLEN_DE_CASTRO","03/10/2016 17:59:37","03/10/2016 18:26:55","261_PZA_XUQUER_ESQ_VINALOPO"
"12",12,"001_GUILLEN_DE_CASTRO","03/10/2016 08:07:27","03/10/2016 08:28:02","105_AVDA. DE LOS NARANJOS"
"13",13,"001_GUILLEN_DE_CASTRO","03/10/2016 09:06:28","03/10/2016 09:13:55","138_SAN_PANCRACIO"
"14",14,"001_GUILLEN_DE_CASTRO","03/10/2016 07:52:58","03/10/2016 07:59:41","014_BARÓN CARCER"
"15",15,"001_GUILLEN_DE_CASTRO","03/10/2016 20:48:56","03/10/2016 20:57:49","143_AVDA. MENENDEZ PIDAL"
"16",16,"001_GUILLEN_DE_CASTRO","03/10/2016 12:29:31","03/10/2016 12:55:39","009_PLAZA_TETUAN_4"
"17",17,"001_GUILLEN_DE_CASTRO","03/10/2016 14:31:21","03/10/2016 14:37:46","014_BARÓN CARCER"
"18",18,"001_GUILLEN_DE_CASTRO","03/10/2016 07:51:32","03/10/2016 07:59:40","014_BARÓN CARCER"
"19",19,"001_GUILLEN_DE_CASTRO","03/10/2016 09:32:06","03/10/2016 09:43:30","025_CALLE_DEL_ALBERIC"
"20",20,"001_GUILLEN_DE_CASTRO","03/10/2016 18:00:08","03/10/2016 18:26:51","261_PZA_XUQUER_ESQ_VINALOPO"
"21",21,"001_GUILLEN_DE_CASTRO","03/10/2016 11:46:39","03/10/2016 11:57:51","015_RIBERA"
"22",22,"001_GUILLEN_DE_CASTRO","03/10/2016 09:09:57","03/10/2016 09:24:19","206_CALLE_PERIODISTA_GIL_SUMBIELA"
"23",23,"001_GUILLEN_DE_CASTRO","03/10/2016 17:28:21","03/10/2016 17:46:50","032_C/ CONDE DE ALTEA"
"24",24,"001_GUILLEN_DE_CASTRO","03/10/2016 19:54:59","03/10/2016 20:12:19","017_ESTACION RENFE I"
